qid,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,status,world_tables
Q11862829,system,conceptual_system,knowledge_system,field_of_study,academic_discipline,,,,,accepted,
Q737498,set,group,group_of_works,series_of_creative_works,serial,periodical,magazine,trade_magazine,academic_journal,accepted,
Q56061,geolocatable_entity,geographic_entity,geographical_feature,region,territory,human_geographic_territorial_entity,administrative_territorial_entity,,,accepted,
Q22687,person_or_organization,organization,financial_institution,financial_intermediary,bank,,,,,accepted,
Q5195043,geolocatable_entity,geographic_entity,geographical_feature,region,territory,human_geographic_territorial_entity,administrative_territorial_entity,borough,,accepted,
Q38829,group_or_class_of_physical_objects,group_or_class_of_living_things,breed,,,,,,,accepted,
Q3231690,class,metaclass,vehicle_model,car_model,,,,,,accepted,
Q11173,physical_substance,matter,common_matter,baryonic_matter,ordinary_matter,chemical_entity,chemical_substance,pure_substance,chemical_compound,accepted,
Q103632,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,accepted,
Q515,geolocatable_entity,geographic_entity,geographical_feature,region,populated_place,human_settlement,urban_settlement,city,,accepted,Cities;Places
Q6256,geolocatable_entity,geographic_entity,geographical_feature,region,territory,country,,,,accepted,Countries
Q13479982,source_entity,source_of_information,information_resource,document,medium_of_exchange,currency,alternative_currency,digital_currency,cryptocurrency,accepted,
Q726,animal,deuterostome,chordata,vertebrata,mammal,odd_toed_ungulate,equidae,equus,equus_caballus,accepted,
Q107390,geolocatable_entity,geographic_entity,geographical_feature,region,territory,human_geographic_territorial_entity,administrative_territorial_entity,federated_state,,accepted,
Q11424,work,intellectual_work,creative_work,audiovisual_work,film,,,,,accepted,
Q618123,geolocatable_entity,geographic_entity,geographical_feature,,,,,,,accepted,
Q16917,structure,social_structure,institution,hospital,,,,,,accepted,
Q268592,set,group,industry,,,,,,,accepted,
Q34770,languoid,language,,,,,,,,accepted,
Q10541491,class,legal_form,,,,,,,,accepted,
Q15284,geolocatable_entity,geographic_entity,geographical_feature,region,territory,human_geographic_territorial_entity,administrative_territorial_entity,political_territorial_entity,municipality,accepted,
Q215380,person_or_organization,organization,music_organization,musical_ensemble,musical_group,,,,,accepted,
Q639669,subject,creator,artist,musician,,,,,,accepted,
Q123705,part,section_of_populated_place,neighborhood,,,,,,,accepted,
Q7278,person_or_organization,legal_person,juridical_person,political_party,,,,,,accepted,
Q81163,physical_substance,matter,common_matter,baryonic_matter,ordinary_matter,chemical_entity,chemical_substance,mixture,polymer,accepted,
Q159719,structure,infrastructure,facility,energy_generating_station,power_station,,,,,accepted,
Q9143,system,conceptual_system,formal_system,formal_language,computer_language,programming_language,,,,accepted,
Q11707,structure,infrastructure,facility,restaurant,,,,,,accepted,
Q3914,person_or_organization,organization,service_provider,educational_institution,school,,,,,accepted,
Q130003,structure,infrastructure,facility,accommodation,lodging,resort,mountain_resort,ski_resort,,accepted,
Q7397,work,intellectual_work,creative_work,software,,,,,,accepted,
Q7366,work,intellectual_work,creative_work,work_of_art,musical_work,composed_musical_work,lyrico_musical_work,song,,accepted,
Q4438121,person_or_organization,organization,sports_organization,,,,,,,accepted,
Q12973014,person_or_organization,organization,sports_organization,sports_team,,,,,,accepted,
Q79007,structure,infrastructure,transport_infrastructure,street,,,,,,accepted,
Q16521,group_or_class_of_physical_objects,group_or_class_of_living_things,taxon,,,,,,,accepted,
Q427626,class,rank,taxonomic_rank,,,,,,,accepted,
Q12357920,geolocatable_entity,geographic_entity,geographical_feature,region,territory,human_geographic_territorial_entity,administrative_territorial_entity,administrative_territorial_entity_of_a_specific_level,third_level_administrative_division,accepted,
Q3918,person_or_organization,organization,service_provider,educational_institution,higher_education_institution,university,,,,accepted,
Q35127,phenomenon,state,condition,contributing_factor,means,communications_media,electronic_media,digital_media,website,accepted,
Q17558136,source_entity,source_of_information,information_resource,software_resource,youtube_channel,,,,,accepted,
