Source,Token,Example,Category,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,is_str,is_num,num_frac,is_time,is_bool,is_enum,is_key,is_ref,currency,academic_discipline,academic_journal,administrative_territorial_entity,bank,baryonic_matter,borough,breed,car_model,chemical_compound,chemical_entity,chemical_substance,chess_opening,city,class,common_matter,conceptual_system,country,creative_work,cryptocurrency,educational_institution,equus_caballus,facility,federated_state,film,geographic_entity,geographical_feature,geolocatable_entity,group,group_or_class_of_living_things,group_or_class_of_physical_objects,hospital,human_geographic_territorial_entity,industry,information_resource,infrastructure,intellectual_work,language,legal_form,matter,municipality,musical_group,musician,neighborhood,ordinary_matter,organization,person_or_organization,physical_substance,political_party,polymer,power_station,programming_language,region,restaurant,school,service_provider,set,ski_resort,software,song,source_entity,source_of_information,sports_organization,sports_team,street,structure,system,taxon,taxonomic_rank,territory,third_level_administrative_division,university,website,work,youtube_channel,intent_agg_count,intent_agg_sum,intent_agg_avg,intent_filter_eq,intent_filter_gt,intent_filter_lt,intent_group,intent_sort_desc,intent_sort_asc,intent_limit
Q103632,chess_opening,"chess_opening: Benoni Defense; Barry Attack; Hodgson Attack; Sicilian Defence, Classical Variation; Barnes Defence",column_name,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103632,Benoni Defense,"chess_opening: Benoni Defense; Barry Attack; Hodgson Attack; Sicilian Defence, Classical Variation; Barnes Defence",cell_value,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103632,Barry Attack,"chess_opening: Benoni Defense; Barry Attack; Hodgson Attack; Sicilian Defence, Classical Variation; Barnes Defence",cell_value,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103632,Hodgson Attack,"chess_opening: Benoni Defense; Barry Attack; Hodgson Attack; Sicilian Defence, Classical Variation; Barnes Defence",cell_value,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103632,"Sicilian Defence, Classical Variation","chess_opening: Benoni Defense; Barry Attack; Hodgson Attack; Sicilian Defence, Classical Variation; Barnes Defence",cell_value,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103632,Barnes Defence,"chess_opening: Benoni Defense; Barry Attack; Hodgson Attack; Sicilian Defence, Classical Variation; Barnes Defence",cell_value,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103632,chess_opening,chess_opening: Center Game; Döry Defence; Icelandic gambit; Konstantinopolsky Opening; corn stalk defence,column_name,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103632,Center Game,chess_opening: Center Game; Döry Defence; Icelandic gambit; Konstantinopolsky Opening; corn stalk defence,cell_value,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103632,Döry Defence,chess_opening: Center Game; Döry Defence; Icelandic gambit; Konstantinopolsky Opening; corn stalk defence,cell_value,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q103632,Icelandic gambit,chess_opening: Center Game; Döry Defence; Icelandic gambit; Konstantinopolsky Opening; corn stalk defence,cell_value,mathematical_object,class,set,relation,binary_relation,function,sequence,chess_opening,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
