wd,s
http://www.wikidata.org/entity/P8546,http://schema.org/recordedAt
http://www.wikidata.org/entity/P571,http://schema.org/startDate
http://www.wikidata.org/entity/P577,http://schema.org/uploadDate
http://www.wikidata.org/entity/P2047,http://schema.org/duration
http://www.wikidata.org/entity/P161,https://schema.org/actor
http://www.wikidata.org/entity/P17,https://schema.org/addressCountry
http://www.wikidata.org/entity/P1416,https://schema.org/affiliation
http://www.wikidata.org/entity/P4970,https://schema.org/alternateName
http://www.wikidata.org/entity/P2360,https://schema.org/audience
http://www.wikidata.org/entity/P166,https://schema.org/award
http://www.wikidata.org/entity/P19,https://schema.org/birthPlace
http://www.wikidata.org/entity/P1716,https://schema.org/brand
http://www.wikidata.org/entity/P175,https://schema.org/byArtist
http://www.wikidata.org/entity/P2317,https://schema.org/callSign
http://www.wikidata.org/entity/P2096,https://schema.org/caption
http://www.wikidata.org/entity/P2860,https://schema.org/citation
http://www.wikidata.org/entity/P1436,https://schema.org/collectionSize
http://www.wikidata.org/entity/P2789,https://schema.org/connectedTo
http://www.wikidata.org/entity/P2507,https://schema.org/correction
http://www.wikidata.org/entity/P170,https://schema.org/creator
http://www.wikidata.org/entity/P2894,https://schema.org/dayOfWeek
http://www.wikidata.org/entity/P20,https://schema.org/deathPlace
http://www.wikidata.org/entity/P2043,https://schema.org/distance
http://www.wikidata.org/entity/P2771,https://schema.org/duns
http://www.wikidata.org/entity/P2047,https://schema.org/duration
http://www.wikidata.org/entity/P1163,https://schema.org/encodingFormat
http://www.wikidata.org/entity/P2701,https://schema.org/encodingFormat
http://www.wikidata.org/entity/P2900,https://schema.org/faxNumber
http://www.wikidata.org/entity/P3090,https://schema.org/flightNumber
http://www.wikidata.org/entity/P112,https://schema.org/founder
http://www.wikidata.org/entity/P21,https://schema.org/gender
http://www.wikidata.org/entity/P136,https://schema.org/genre
http://www.wikidata.org/entity/P2048,https://schema.org/height
http://www.wikidata.org/entity/P239,https://schema.org/icaoCode
http://www.wikidata.org/entity/P18,https://schema.org/image
http://www.wikidata.org/entity/P234,https://schema.org/inChI
http://www.wikidata.org/entity/P235,https://schema.org/inChIKey
http://www.wikidata.org/entity/P144,https://schema.org/isBasedOn
http://www.wikidata.org/entity/P212,https://schema.org/isbn
http://www.wikidata.org/entity/P1796,https://schema.org/isicV4
http://www.wikidata.org/entity/P361,https://schema.org/isPartOf
http://www.wikidata.org/entity/P1243,https://schema.org/isrcCode
http://www.wikidata.org/entity/P236,https://schema.org/issn
http://www.wikidata.org/entity/P1827,https://schema.org/iswcCode
http://www.wikidata.org/entity/P276,https://schema.org/itemLocation
http://www.wikidata.org/entity/P1412,https://schema.org/knowsLanguage
http://www.wikidata.org/entity/P1278,https://schema.org/leiCode
http://www.wikidata.org/entity/P275,https://schema.org/license
http://www.wikidata.org/entity/P276,https://schema.org/location
http://www.wikidata.org/entity/P154,https://schema.org/logo
http://www.wikidata.org/entity/P186,https://schema.org/material
http://www.wikidata.org/entity/P463,https://schema.org/memberOf
http://www.wikidata.org/entity/P2561,https://schema.org/name
http://www.wikidata.org/entity/P27,https://schema.org/nationality
http://www.wikidata.org/entity/P2218,https://schema.org/netWorth
http://www.wikidata.org/entity/P1128,https://schema.org/numberOfEmployees
http://www.wikidata.org/entity/P2437,https://schema.org/numberOfSeasons
http://www.wikidata.org/entity/P2635,https://schema.org/numTracks
http://www.wikidata.org/entity/P306,https://schema.org/operatingSystem
http://www.wikidata.org/entity/P1830,https://schema.org/owns
http://www.wikidata.org/entity/P304,https://schema.org/pagination
http://www.wikidata.org/entity/P179,https://schema.org/partOfSeries
http://www.wikidata.org/entity/P1545,https://schema.org/position
http://www.wikidata.org/entity/P281,https://schema.org/postalCode
http://www.wikidata.org/entity/P155,https://schema.org/previousItem
http://www.wikidata.org/entity/P162,https://schema.org/producer
http://www.wikidata.org/entity/P272,https://schema.org/productionCompany
http://www.wikidata.org/entity/P277,https://schema.org/programmingLanguage
http://www.wikidata.org/entity/P176,https://schema.org/provider
http://www.wikidata.org/entity/P195,https://schema.org/provider
http://www.wikidata.org/entity/P123,https://schema.org/publisher
http://www.wikidata.org/entity/P1817,https://schema.org/recipient
http://www.wikidata.org/entity/P2550,https://schema.org/recordingOf
http://www.wikidata.org/entity/P1995,https://schema.org/relevantSpecialty
http://www.wikidata.org/entity/P2257,https://schema.org/repeatFrequency
http://www.wikidata.org/entity/P2899,https://schema.org/requiredMinAge
http://www.wikidata.org/entity/P2012,https://schema.org/servesCuisine
http://www.wikidata.org/entity/P1546,https://schema.org/slogan
http://www.wikidata.org/entity/P26,https://schema.org/spouse
http://www.wikidata.org/entity/P1329,https://schema.org/telephone
http://www.wikidata.org/entity/P249,https://schema.org/tickerSymbol
http://www.wikidata.org/entity/P658,https://schema.org/track
http://www.wikidata.org/entity/P2699,https://schema.org/url
http://www.wikidata.org/entity/P3027,https://schema.org/validFrom
http://www.wikidata.org/entity/P3028,https://schema.org/validThrough
http://www.wikidata.org/entity/P2067,https://schema.org/weight
http://www.wikidata.org/entity/P2049,https://schema.org/width
